matric_number,full_name,department,level,gender,date_of_birth,state_of_origin,gpa,score_maths,score_english,fees_paid,outstanding_fees,hostel,scholarship,phone,legacy_field
FP/2021/57548,Aisha Bello,,HND1,F,2002-12-21,Enugu,3.03,88,1,85182.18,88484.05,Block B,None,08039868425,
FP/2021/98644,ALIYU MUSA,Electrical Engineering,HND1,F,1998-07-24,Oyo,,45,51,79645.99,59661.73,Block B,Federal Govt,08092302415,
FP/2021/82445,ibrahim dan-asabe,Accountancy,ND1,F,1999-05-25,Lagos,3.17,84,92,72872.79,118728.96,Block B,State Govt,08066670236,
FP/2021/75535,ibrahim dan-asabe,Computer Science,ND2,Female,1997-07-12,Kano,1.48,67,15,149958.93,132444.29,,Private,08097132532,
FP/2021/36394,GRACE PETER,Accountancy,HND1,MALE,1997-04-16,Delta,,41,99,81185.23,114032.55,Block C,None,08059300090,
FP/2021/53539,ibrahim dan-asabe,Mass Communication,ND2,M,1997-09-08,Abuja,1.7,39,32,176840.4,132859.87,Block C,Federal Govt,08057415311,
FP/2021/50280,ALIYU MUSA,Statistics,HND2,F,1997-12-10,Oyo,3.48,23,58,,19760.89,,Federal Govt,08011795663,
FP/2021/96805,CHIOMA NNAJI,Computer Science,HND2,F,1998-11-06,Oyo,3.57,23,25,175175.82,16407.56,Block A,Federal Govt,08094745042,
FP/2021/10863,ibrahim dan-asabe,Nutrition,HND2,Female,1999-05-19,Delta,4.64,10,80,171153.96,61334.9,,Federal Govt,08090638368,
FP/2021/23302,Aisha Bello,Nutrition,HND2,M,1999-08-08,Oyo,2.45,42,71,102297.82,9426.47,Block C,Private,08077888167,
FP/2021/31825,ALIYU MUSA,,HND2,Female,2002-08-27,Lagos,3.72,97,63,165492.17,4409.25,,State Govt,08024896300,
FP/2021/12719,GRACE PETER,Mass Communication,HND1,FEMALE,2002-08-25,Abuja,2.91,12,82,187567.57,30777.28,Block A,State Govt,08055842121,
FP/2021/10452,ibrahim dan-asabe,Business Admin,HND1,MALE,2000-12-15,Kano,1.16,16,67,92274.12,144735.61,Block C,Federal Govt,08044063189,
FP/2021/70437,CHIOMA NNAJI,Business Admin,HND2,FEMALE,1998-04-29,Delta,1.08,12,96,168130.3,22683.97,Block B,State Govt,08083144746,
FP/2021/96700,ibrahim dan-asabe,Nutrition,ND1,Male,2000-11-21,Rivers,4.31,22,30,79519.9,49609.67,Off Campus,Federal Govt,08099643584,
FP/2021/26701,GRACE PETER,Nutrition,ND2,MALE,2000-12-25,Oyo,1.81,36,85,113731.45,88334.86,,State Govt,08042069007,
FP/2021/17131,ALIYU MUSA,Computer Science,ND1,MALE,1998-05-20,Lagos,4.97,86,54,68557.58,118859.73,Block A,,08065299905,
FP/2021/26006,segun adeyemi,Electrical Engineering,HND2,F,1997-03-31,Abuja,,28,79,178014.58,111368.89,Block C,,08074452919,
FP/2021/68666,ALIYU MUSA,Electrical Engineering,ND1,F,2002-03-09,Oyo,1.08,41,64,120964.26,126786.79,Block C,Federal Govt,08057554559,
FP/2021/49778,segun adeyemi,Civil Engineering,ND2,F,2000-04-11,Delta,3.44,48,11,185804.45,84524.77,,None,08068523641,
FP/2021/32359,ibrahim dan-asabe,Mass Communication,ND1,Female,1999-09-13,Rivers,1.82,6,19,77916.21,68370.68,Off Campus,State Govt,08064043529,
FP/2021/79691,ibrahim dan-asabe,Mass Communication,ND1,Female,1997-11-21,Oyo,2.37,87,16,161566.88,,Block B,None,08059584831,
FP/2021/65897,Emeka Okoye,Business Admin,ND2,Female,1997-06-15,Oyo,4.3,23,47,125013.76,31991.88,,Federal Govt,08092193570,
FP/2021/58404,segun adeyemi,Nutrition,HND2,FEMALE,2002-12-24,Kano,1.45,37,99,89207.63,,,Private,08061192232,
FP/2021/76454,ibrahim dan-asabe,Business Admin,HND2,MALE,1999-06-28,Abuja,4.9,65,6,108596.98,70573.28,,,08085664278,
FP/2021/21137,GRACE PETER,,HND1,Female,2000-07-27,Oyo,3.68,90,60,50168.74,117375.8,Block C,Federal Govt,08045899441,
FP/2021/46234,Emeka Okoye,Mass Communication,HND2,M,2002-02-25,Kano,2.77,16,51,152532.93,108589.44,,State Govt,08072049958,
FP/2021/56221,ALIYU MUSA,Accountancy,ND1,M,1997-10-27,Oyo,1.33,24,84,117988.05,71588.99,,Private,08086070895,
FP/2021/47297,Aisha Bello,Mass Communication,ND1,M,2001-04-13,Edo,,29,97,,122016.23,Block A,Private,08017869542,
FP/2021/33746,ibrahim dan-asabe,Electrical Engineering,HND2,Female,1999-04-08,Kano,,64,32,175906.63,83963.16,Block C,Private,08029812452,
FP/2021/27940,Aisha Bello,Accountancy,HND2,F,2000-10-08,Enugu,2.35,9,4,57199.78,121232.01,Off Campus,None,08045511930,
FP/2021/72774,segun adeyemi,Mass Communication,ND2,FEMALE,1999-02-13,Oyo,4.98,80,29,,32552.01,,State Govt,08074920240,
FP/2021/26340,ALIYU MUSA,Accountancy,HND1,Female,1998-03-25,Delta,3.28,94,13,59839.02,90643.77,Block A,None,08082852909,
FP/2021/87571,GRACE PETER,Civil Engineering,HND2,Male,1999-02-24,Rivers,1.72,63,17,162498.98,20502.19,Block B,None,08094261836,
FP/2021/34433,ibrahim dan-asabe,Computer Science,HND1,M,2001-02-08,Rivers,4.82,47,0,172312.16,19677.62,Off Campus,None,08024644085,
FP/2021/63573,CHIOMA NNAJI,Computer Science,ND1,FEMALE,1999-08-31,Edo,4.72,12,54,90745.65,147436.62,Block B,Federal Govt,08036434662,
FP/2021/49926,GRACE PETER,Nutrition,ND2,M,2000-06-22,Enugu,4.73,78,45,171559.38,124550.46,Block B,State Govt,08010984834,
FP/2021/61657,CHIOMA NNAJI,Mass Communication,HND2,F,1998-04-18,Enugu,2.03,30,80,,102408.74,Block C,,08058664296,
FP/2021/29702,ibrahim dan-asabe,Computer Science,ND2,FEMALE,2000-06-05,Kano,2.2,8,31,177173.02,69097.74,,Federal Govt,08021015125,
FP/2021/31826,Aisha Bello,,HND1,Female,1999-06-20,Delta,1.99,85,66,110591.83,117507.87,Block A,None,08067418917,
FP/2021/13785,ibrahim dan-asabe,Computer Science,HND2,FEMALE,1997-05-04,Kano,3.91,69,2,,15713.46,Block B,None,08097949160,
FP/2021/48775,ALIYU MUSA,Business Admin,HND2,FEMALE,1999-09-30,Delta,2.68,72,54,120482.91,114519.81,,Federal Govt,08037412458,
FP/2021/81300,Emeka Okoye,Accountancy,ND2,FEMALE,1997-05-03,Delta,2.66,73,66,59120.8,30212.41,Off Campus,,08027464781,
FP/2021/26750,Aisha Bello,Mass Communication,HND1,Female,2001-04-30,Delta,3.36,79,24,126192.69,71823.88,Block B,Private,08041571265,
FP/2021/94359,CHIOMA NNAJI,Nutrition,HND1,MALE,1998-05-16,Enugu,4.71,8,65,103443.78,6001.39,Block B,Federal Govt,08085921917,
FP/2021/81697,segun adeyemi,Statistics,HND1,MALE,1997-03-12,Enugu,2.53,0,41,110742.87,67617.55,Block B,Federal Govt,08072181554,
FP/2021/27702,ibrahim dan-asabe,Computer Science,HND1,Male,2001-08-20,Lagos,1.93,-1,22,78630.21,,,Private,08021550884,
FP/2021/70719,Emeka Okoye,,HND1,Male,1998-11-20,Delta,2.38,1,31,163161.07,92795.68,Block B,None,08065581490,
FP/2021/40282,GRACE PETER,Electrical Engineering,HND2,F,1998-10-30,Abuja,2.99,49,27,,8437.34,Off Campus,,08027431870,
FP/2021/81490,Emeka Okoye,Accountancy,HND1,M,2000-03-25,Lagos,1.71,59,30,134936.16,1104.76,Off Campus,Private,08069542482,
FP/2021/91891,Aisha Bello,Statistics,HND2,F,2001-02-06,Kano,4.89,99,83,180249.29,134824.54,,,08050618443,
FP/2021/46500,CHIOMA NNAJI,Mass Communication,HND1,Male,1997-08-21,Rivers,,41,78,66710.18,51533.96,,Private,08042326248,
FP/2021/98597,Aisha Bello,Statistics,ND2,F,1997-01-24,Abuja,2.71,6,33,193088.08,61702.34,Block A,Federal Govt,08068074682,
FP/2021/59466,GRACE PETER,Accountancy,ND2,M,2001-08-26,Oyo,1.07,29,52,68539.78,7122.45,Block C,Federal Govt,08075736244,
FP/2021/11762,ALIYU MUSA,Mass Communication,HND2,M,2002-11-19,Abuja,4.58,43,14,72306.98,87798.14,,,08077213177,
FP/2021/70793,GRACE PETER,Statistics,HND1,F,1997-02-12,Rivers,2.31,46,91,178906.52,98048.33,,Federal Govt,08089679535,
FP/2021/79260,ibrahim dan-asabe,Mass Communication,HND2,F,1998-06-20,Lagos,2.62,25,82,79937.76,86800.6,Block C,Federal Govt,08062364701,
FP/2021/75825,GRACE PETER,Nutrition,ND1,M,1998-10-30,Lagos,1.43,31,2,172892.52,,Off Campus,,08035826468,
FP/2021/39635,Aisha Bello,Nutrition,ND2,Female,1997-11-08,Edo,3.0,4,40,160154.24,119420.44,Block B,None,08057724357,
FP/2021/17202,ibrahim dan-asabe,Civil Engineering,ND2,M,1998-09-14,Edo,2.4,56,36,87805.78,90926.43,,Private,08032651201,
FP/2021/89958,segun adeyemi,Business Admin,ND2,Male,2000-11-02,Enugu,,52,26,143071.48,72783.52,Off Campus,,08013497876,
FP/2021/74677,GRACE PETER,Electrical Engineering,HND2,Female,2002-04-03,Enugu,3.64,61,89,165133.22,104438.36,,Private,08013676863,
FP/2021/24025,CHIOMA NNAJI,Statistics,HND1,F,1999-10-15,Oyo,1.48,68,55,111966.78,2732.29,Block B,,08045447434,
FP/2021/35256,Emeka Okoye,Business Admin,ND1,MALE,2002-02-26,Enugu,,88,79,184205.58,66886.89,Off Campus,Private,08019297651,
FP/2021/62047,Aisha Bello,Nutrition,HND1,F,1999-06-29,Delta,2.24,-5,33,117662.03,76719.58,Block B,None,08087296041,
FP/2021/91812,Aisha Bello,Electrical Engineering,ND2,MALE,2001-10-30,Edo,2.95,51,6,100029.17,41634.22,Off Campus,Private,08043623855,
FP/2021/43114,GRACE PETER,Computer Science,HND2,MALE,1998-02-06,Delta,2.81,89,83,50844.98,1719.87,Block A,State Govt,08021722578,
FP/2021/41809,GRACE PETER,Statistics,HND2,M,2002-09-03,Kano,2.51,27,74,,46453.35,Block B,State Govt,08058255830,
FP/2021/10052,segun adeyemi,Statistics,ND1,M,2000-09-30,Edo,3.05,28,44,131401.73,29871.79,Block A,,08022363048,
FP/2021/20352,ibrahim dan-asabe,Nutrition,ND1,FEMALE,2001-11-20,Edo,4.99,36,77,88600.11,32033.27,Block A,None,08026247606,
FP/2021/45615,ALIYU MUSA,Civil Engineering,ND1,Female,2000-05-17,Rivers,1.11,29,71,182030.1,93458.2,Block B,None,08087227963,
FP/2021/39832,CHIOMA NNAJI,Mass Communication,HND2,MALE,2000-12-18,Kano,2.4,30,35,175593.56,100490.34,,None,08045289044,
FP/2021/60058,GRACE PETER,Electrical Engineering,HND1,MALE,1997-06-12,Abuja,4.36,-5,40,91932.57,40404.62,Block C,Federal Govt,08038113321,
FP/2021/80471,segun adeyemi,Nutrition,HND1,F,2001-03-28,Abuja,,95,5,79410.85,64651.11,Off Campus,None,08046596612,
FP/2021/70604,segun adeyemi,Mass Communication,ND1,MALE,2000-01-09,Kano,4.64,98,46,173228.02,5374.22,Block C,None,08090475798,
FP/2021/92226,GRACE PETER,Business Admin,ND2,F,1997-09-28,Edo,1.76,19,46,102390.02,5455.33,Block A,Private,08044350687,
FP/2021/17520,segun adeyemi,Business Admin,HND1,Male,1998-10-06,Abuja,4.35,30,7,67397.52,83601.5,Block A,Private,08026554526,
FP/2021/85790,Emeka Okoye,Civil Engineering,ND1,Female,2002-09-30,Oyo,,64,28,116793.09,,Block A,None,08085697340,
FP/2021/59040,ALIYU MUSA,Mass Communication,HND1,F,1999-01-15,Lagos,3.58,28,46,103757.6,,,Private,08064076890,
FP/2021/12467,ibrahim dan-asabe,Accountancy,ND1,FEMALE,1997-05-25,Enugu,,25,54,73914.65,54559.68,Block C,,08086519006,
FP/2021/12663,Aisha Bello,Computer Science,HND2,F,1997-12-05,Edo,,18,80,62624.6,,,,08032075661,
FP/2021/66207,Aisha Bello,Nutrition,ND2,Female,1997-03-23,Kano,2.76,22,69,52469.06,28553.12,Block C,None,08012583323,
FP/2021/58086,Emeka Okoye,Nutrition,HND2,F,2002-11-25,Delta,1.89,61,24,,90005.59,Off Campus,Federal Govt,08043761223,
FP/2021/53678,Aisha Bello,,ND2,M,1998-11-09,Edo,,82,56,124994.26,15432.38,Block A,State Govt,08067343094,
FP/2021/73333,Emeka Okoye,Computer Science,ND2,Male,2000-10-04,Rivers,4.6,87,10,130869.48,119105.44,Block B,State Govt,08078751058,
FP/2021/33282,ibrahim dan-asabe,Nutrition,ND2,MALE,1997-07-19,Kano,2.26,31,22,156276.16,,Block B,None,08042329939,
FP/2021/78500,CHIOMA NNAJI,Civil Engineering,ND2,F,1999-06-25,Kano,3.69,19,50,182585.34,110718.05,Block B,None,08059141239,
FP/2021/44729,segun adeyemi,Business Admin,HND2,M,2002-12-10,Abuja,1.44,43,16,184350.55,99284.75,Block C,None,08053784213,
FP/2021/31827,segun adeyemi,,ND2,Female,2002-12-24,Kano,,54,51,113228.22,,,,08021578572,
FP/2021/81335,GRACE PETER,Civil Engineering,HND1,M,1998-05-07,Lagos,1.96,51,72,151804.13,92939.45,,,08061966426,
FP/2021/60438,Aisha Bello,Statistics,HND2,Male,1998-09-13,Enugu,2.52,95,29,198777.36,95426.96,Block B,Federal Govt,08090981226,
FP/2021/42927,ALIYU MUSA,Mass Communication,HND1,M,2001-11-08,Edo,1.75,64,71,140482.19,38347.91,Off Campus,None,08072103935,
FP/2021/53577,GRACE PETER,Statistics,HND1,F,1997-11-13,Kano,1.05,99,7,136572.82,54136.03,Block B,State Govt,08026783201,
FP/2021/67270,GRACE PETER,Statistics,HND1,FEMALE,2000-06-18,Delta,4.48,23,44,155888.85,49074.16,Block A,,08053887498,
FP/2021/80965,ALIYU MUSA,Nutrition,HND2,MALE,2000-08-17,Enugu,2.59,64,5,146618.19,27931.48,Off Campus,None,08024733105,
FP/2021/69393,Emeka Okoye,Business Admin,HND1,MALE,2001-12-18,Edo,1.67,63,1,,24343.16,Block A,Federal Govt,08059783492,
FP/2021/81203,segun adeyemi,,HND2,MALE,2000-04-04,Abuja,3.12,88,67,139733.28,67246.66,Block B,,08029644062,
FP/2021/59548,CHIOMA NNAJI,Civil Engineering,ND1,Female,1998-03-25,Abuja,1.08,94,49,182041.72,139100.79,Block C,State Govt,08089181683,
FP/2021/54659,GRACE PETER,Nutrition,HND1,FEMALE,2002-08-26,Oyo,3.56,13,78,98482.05,45305.1,Block B,Federal Govt,08080082172,
FP/2021/36724,ALIYU MUSA,Nutrition,ND2,MALE,1998-10-05,Kano,4.09,8,81,67695.37,46287.37,,Federal Govt,08028930447,
FP/2021/43026,ibrahim dan-asabe,Accountancy,ND2,Male,2000-11-28,Edo,4.81,58,33,69461.01,7516.62,Block C,,08022804834,
FP/2021/35224,CHIOMA NNAJI,Electrical Engineering,HND2,M,1998-06-12,Lagos,,99,48,161206.95,84904.64,,Private,08019153218,
FP/2021/89756,GRACE PETER,Mass Communication,HND2,FEMALE,1999-02-06,Lagos,4.03,64,2,150029.83,99556.47,Block A,Federal Govt,08062920200,
FP/2021/63296,Aisha Bello,Computer Science,ND1,Female,1998-08-27,Kano,3.11,32,50,87233.44,5221.38,Block C,,08060463614,
FP/2021/85173,Aisha Bello,Nutrition,HND1,M,1998-08-18,Oyo,4.82,14,5,,87972.16,Block A,None,08019902466,
FP/2021/72346,ALIYU MUSA,Business Admin,HND2,MALE,1999-01-07,Oyo,2.36,86,7,,60912.27,Block B,None,08063670031,
FP/2021/45851,Aisha Bello,,HND1,F,1999-08-15,Enugu,3.15,51,83,77209.67,127893.28,Block A,State Govt,08032519622,
FP/2021/75769,Aisha Bello,Mass Communication,ND2,FEMALE,1997-11-14,Rivers,2.76,75,48,,45877.13,,Federal Govt,08079797802,
FP/2021/28266,GRACE PETER,Computer Science,ND2,Female,2000-12-12,Delta,3.11,-1,74,136177.92,60548.66,Off Campus,None,08086972270,
FP/2021/94558,segun adeyemi,Accountancy,HND2,F,1997-07-12,Oyo,4.29,52,9,94051.44,116863.8,Block C,Federal Govt,08055232661,
FP/2021/44420,CHIOMA NNAJI,Business Admin,ND1,Male,1998-01-02,Lagos,2.58,85,35,63634.15,117582.27,Block C,None,08043328900,
FP/2021/25518,ALIYU MUSA,Statistics,ND1,Female,1997-10-08,Oyo,1.83,91,1,180994.51,25928.88,Block C,,08084205103,
FP/2021/50004,Aisha Bello,Civil Engineering,HND1,FEMALE,2000-01-18,Oyo,4.18,84,95,114362.07,141273.93,Off Campus,,08083127389,
FP/2021/35682,Emeka Okoye,Civil Engineering,HND2,Female,1999-06-18,Kano,4.52,88,70,,13899.57,Off Campus,Federal Govt,08012972261,
FP/2021/33624,ibrahim dan-asabe,Mass Communication,ND2,FEMALE,2001-07-07,Lagos,1.61,14,21,182611.83,146112.25,Block B,,08065089522,
FP/2021/75201,GRACE PETER,Computer Science,ND1,Male,1998-10-15,Enugu,4.12,92,68,151249.31,8306.76,,Federal Govt,08062991422,
FP/2021/64924,GRACE PETER,Computer Science,HND1,FEMALE,1999-11-19,Oyo,3.24,99,50,58980.43,69086.36,Block B,Private,08049835395,
FP/2021/49871,Emeka Okoye,Mass Communication,HND1,M,2001-12-04,Lagos,3.7,60,95,116270.36,149798.54,Block A,State Govt,08051993889,
FP/2021/60085,Aisha Bello,Statistics,HND2,M,1999-03-22,Lagos,4.84,49,85,121341.13,144826.98,Block B,Private,08089677323,
FP/2021/34365,ibrahim dan-asabe,Business Admin,ND1,F,1998-06-20,Delta,1.52,84,66,136424.57,30569.64,Block B,,08036321955,
FP/2021/67858,Emeka Okoye,Business Admin,HND1,Female,1999-10-06,Lagos,4.26,93,60,121649.76,,Block C,Federal Govt,08045046824,
FP/2021/67119,Aisha Bello,Accountancy,ND1,Female,2001-08-28,Kano,3.4,65,76,55898.19,108570.13,Off Campus,Federal Govt,08092757017,
FP/2021/20253,ALIYU MUSA,Nutrition,ND1,Female,2000-06-11,Edo,3.4,13,0,125661.98,,Off Campus,,08033498500,
FP/2021/77547,Aisha Bello,Mass Communication,ND2,Female,2002-12-20,Delta,1.46,60,99,171363.45,7776.47,Block B,None,08047249353,
FP/2021/75170,Emeka Okoye,Accountancy,ND1,Female,2002-08-05,Enugu,2.49,89,17,156696.76,121134.66,Block B,Private,08081699905,
FP/2021/73342,Aisha Bello,Mass Communication,HND1,MALE,2002-11-01,Delta,1.49,89,54,57210.62,,Block A,State Govt,08023181993,
FP/2021/88691,ALIYU MUSA,Statistics,HND2,Female,2002-03-27,Delta,4.72,10,92,153315.29,23803.76,,State Govt,08011985029,
FP/2021/84920,CHIOMA NNAJI,Statistics,ND1,Male,2001-11-05,Abuja,2.34,37,51,155284.81,,Block A,State Govt,08018509663,
FP/2021/80736,GRACE PETER,Electrical Engineering,ND1,F,2001-05-16,Kano,2.06,30,9,102641.5,26055.49,Block C,Private,08078594890,
FP/2021/21812,CHIOMA NNAJI,Business Admin,ND1,MALE,2001-04-02,Rivers,,-4,15,64081.34,17498.36,Off Campus,State Govt,08042060776,
FP/2021/88462,ALIYU MUSA,Mass Communication,HND2,Female,1998-03-17,Kano,2.98,62,86,81500.92,81309.04,Block A,State Govt,08077788573,
FP/2021/98738,Emeka Okoye,Accountancy,HND1,FEMALE,2001-04-28,Oyo,1.57,63,88,186947.33,102654.08,Block A,None,08073749694,
FP/2021/93673,segun adeyemi,Civil Engineering,ND1,FEMALE,2001-06-22,Edo,,43,94,81050.89,70627.1,Block B,,08037693843,
FP/2021/50597,ALIYU MUSA,Nutrition,HND2,Male,1999-01-19,Lagos,,36,42,139366.59,83452.92,,,08081070367,
FP/2021/97953,ALIYU MUSA,Accountancy,HND1,FEMALE,1997-07-03,Kano,1.88,51,31,179342.53,72959.34,Block B,Private,08089839973,
FP/2021/38239,ALIYU MUSA,Nutrition,ND1,M,1997-12-01,Abuja,4.26,93,81,102426.84,144696.99,,,08086837293,
FP/2021/28002,GRACE PETER,Civil Engineering,HND1,FEMALE,1997-12-25,Lagos,,16,37,118601.87,20006.09,,Private,08023795353,
FP/2021/79717,Aisha Bello,Nutrition,HND1,MALE,2001-03-28,Lagos,2.91,47,95,,98372.21,Block B,Federal Govt,08070174920,
FP/2021/46304,CHIOMA NNAJI,Civil Engineering,ND2,FEMALE,1998-10-21,Edo,2.84,66,36,67821.72,114949.62,Block A,,08065989800,
FP/2021/71212,CHIOMA NNAJI,Business Admin,HND1,M,1999-12-16,Abuja,2.0,76,77,106459.44,5188.7,Off Campus,None,08069748156,
FP/2021/82122,GRACE PETER,Civil Engineering,HND2,FEMALE,1999-08-12,Rivers,1.63,12,89,79754.84,25357.92,Block A,None,08035202909,
FP/2021/82920,Aisha Bello,Accountancy,HND1,FEMALE,2000-10-01,Edo,4.86,9,67,110341.27,50481.48,Block C,,08064210628,
FP/2021/35597,CHIOMA NNAJI,,HND1,MALE,2000-08-21,Enugu,1.34,67,27,91290.29,53165.4,Block A,,08047713878,
FP/2021/44976,GRACE PETER,Statistics,HND2,MALE,2002-06-06,Abuja,4.66,26,67,165113.34,91059.9,Block C,None,08037162411,
FP/2021/14709,Emeka Okoye,Accountancy,HND2,F,2002-07-26,Abuja,1.7,96,66,55455.35,33731.34,Block A,None,08018585186,
FP/2021/18837,Emeka Okoye,Nutrition,HND2,MALE,1998-02-11,Enugu,3.13,74,77,83890.07,54950.04,Off Campus,None,08044307596,
FP/2021/50342,GRACE PETER,Mass Communication,HND1,Female,2002-07-26,Enugu,2.7,24,66,196392.22,70988.88,Block B,,08036763369,
FP/2021/35813,GRACE PETER,Statistics,ND1,Male,1998-02-10,Abuja,4.22,75,17,104828.81,78060.92,Block A,State Govt,08075902547,
FP/2021/49298,GRACE PETER,Business Admin,ND1,Female,2001-05-27,Abuja,4.81,76,89,66172.53,15178.44,,State Govt,08054538515,
FP/2021/94901,Emeka Okoye,Computer Science,HND2,Male,1999-07-01,Rivers,3.58,51,31,69316.83,32964.27,Block A,State Govt,08066070697,
FP/2021/49637,ALIYU MUSA,Mass Communication,HND1,MALE,1998-10-24,Kano,2.52,71,14,116696.68,,Block A,Private,08043065566,
FP/2021/64711,ALIYU MUSA,Electrical Engineering,HND1,F,2001-05-06,Oyo,,15,51,198767.47,4538.36,Block B,State Govt,08069347213,
FP/2021/25254,GRACE PETER,Nutrition,HND1,MALE,2000-10-13,Kano,4.82,46,26,159549.83,149750.05,Block B,,08063704500,
FP/2021/77853,ALIYU MUSA,Civil Engineering,ND1,FEMALE,1998-06-27,Enugu,2.84,60,82,182633.94,72421.83,Block A,Federal Govt,08095524748,
FP/2021/63795,segun adeyemi,Computer Science,ND2,Male,2002-01-07,Abuja,,49,51,72639.31,128252.18,Off Campus,Federal Govt,08075467155,
FP/2021/74372,CHIOMA NNAJI,Mass Communication,HND1,Male,1997-12-04,Oyo,3.62,15,70,193681.51,621.62,Block A,None,08049588643,
FP/2021/41075,ALIYU MUSA,Civil Engineering,HND1,MALE,2001-09-25,Enugu,1.19,71,78,91663.45,67078.33,,Private,08087877987,
FP/2021/99223,Aisha Bello,Business Admin,HND1,FEMALE,2001-06-11,Edo,4.69,62,16,112864.25,52297.3,Off Campus,,08091938522,
FP/2021/74220,ibrahim dan-asabe,Electrical Engineering,ND2,MALE,2002-02-15,Edo,1.53,73,87,68526.39,60690.06,Block A,Private,08097881254,
FP/2021/52657,ibrahim dan-asabe,Accountancy,HND2,MALE,2000-08-06,Delta,1.77,80,35,187722.1,50796.07,Block C,None,08056356069,
FP/2021/12383,GRACE PETER,Nutrition,HND1,M,2000-07-12,Abuja,2.67,59,66,141175.31,93366.18,Block C,,08026802733,
FP/2021/13927,ibrahim dan-asabe,Statistics,ND1,Female,2002-02-12,Delta,3.89,45,17,191251.82,77730.92,Off Campus,State Govt,08082468262,
FP/2021/89970,ibrahim dan-asabe,Electrical Engineering,ND2,FEMALE,1999-05-10,Edo,3.56,21,50,110933.7,53964.38,Block C,None,08042853341,
FP/2021/95302,GRACE PETER,Accountancy,ND2,Male,1997-10-19,Abuja,4.72,84,4,54266.59,35911.2,Off Campus,State Govt,08014210248,
FP/2021/30028,CHIOMA NNAJI,Statistics,ND1,F,2000-04-14,Edo,4.78,2,59,97525.53,49661.46,Off Campus,Private,08036065152,
FP/2021/99099,ibrahim dan-asabe,Computer Science,HND1,Female,2000-07-27,Rivers,,18,22,92971.37,3470.08,Block A,,08050397116,
FP/2021/51933,ALIYU MUSA,Mass Communication,HND1,MALE,1999-04-28,Oyo,3.52,80,69,172430.53,124414.42,Off Campus,State Govt,08081938014,
FP/2021/82395,GRACE PETER,Mass Communication,HND2,FEMALE,1999-10-05,Enugu,,32,66,109984.08,113006.11,Block A,State Govt,08025565549,
FP/2021/51057,Aisha Bello,Accountancy,ND2,Female,2000-06-03,Kano,3.72,14,22,136045.09,38803.6,Off Campus,None,08023240130,
FP/2021/61645,Emeka Okoye,Mass Communication,HND2,F,2000-05-31,Abuja,1.89,84,50,130627.99,42315.39,Off Campus,Private,08086555009,
FP/2021/32447,Emeka Okoye,Computer Science,ND1,F,1999-06-07,Delta,3.68,7,6,178465.51,81080.12,Block A,Federal Govt,08024192890,
FP/2021/71267,Emeka Okoye,Civil Engineering,HND1,Male,2001-10-04,Rivers,1.86,65,73,122240.31,105792.21,,State Govt,08053602836,
FP/2021/66213,GRACE PETER,Statistics,HND2,Male,2001-10-28,Kano,,85,52,86891.99,149044.14,Block A,,08086493546,
FP/2021/11705,segun adeyemi,Civil Engineering,ND2,MALE,1998-02-21,Lagos,3.07,34,36,64484.96,147666.89,Block B,None,08085835501,
FP/2021/54609,segun adeyemi,Mass Communication,ND2,F,2001-03-19,Abuja,3.31,15,10,,62870.49,Off Campus,None,08069426658,
FP/2021/69024,ALIYU MUSA,Computer Science,HND1,Male,1997-10-06,Oyo,3.15,83,36,197863.48,10354.16,Block C,Private,08025322903,
FP/2021/92564,Aisha Bello,Electrical Engineering,HND1,Female,2002-02-16,Edo,1.77,29,35,51739.78,64883.53,Block A,None,08086015668,
FP/2021/72158,Aisha Bello,Business Admin,ND1,F,2002-03-22,Abuja,,82,31,,82047.36,Block A,None,08069792367,
FP/2021/35270,Emeka Okoye,Civil Engineering,HND1,MALE,1997-04-09,Lagos,2.81,2,72,162293.66,105406.84,Off Campus,Federal Govt,08043836136,
FP/2021/76726,segun adeyemi,Business Admin,HND2,MALE,1997-06-23,Edo,1.46,58,81,92259.43,1773.42,Block C,None,08021092263,
FP/2021/71730,ibrahim dan-asabe,Business Admin,HND1,Male,1999-11-25,Lagos,1.7,53,21,55342.2,113289.23,Off Campus,,08083480673,
FP/2021/59372,ALIYU MUSA,Statistics,HND2,Male,1998-04-21,Oyo,3.43,5,97,118278.87,64512.92,Block B,None,08032674661,
FP/2021/51375,GRACE PETER,Computer Science,HND2,MALE,2001-11-23,Rivers,3.84,94,18,55380.24,45624.59,Block C,None,08047459044,
FP/2021/79865,Aisha Bello,Nutrition,HND1,Male,1997-10-18,Oyo,3.64,97,61,55410.6,10042.22,,State Govt,08087559837,
FP/2021/27187,ibrahim dan-asabe,Nutrition,HND2,M,1997-08-19,Rivers,4.52,92,0,123331.45,96565.14,Block C,Federal Govt,08073849957,
FP/2021/87003,ALIYU MUSA,Statistics,HND2,M,2002-04-30,Oyo,3.06,93,63,176125.3,15530.93,Block A,None,08043752929,
FP/2021/68451,ALIYU MUSA,Business Admin,ND2,Female,2001-06-14,Oyo,3.03,3,98,82757.74,54636.48,,None,08019905111,
FP/2021/51136,Emeka Okoye,Mass Communication,HND1,FEMALE,1997-08-23,Enugu,2.28,67,60,,78184.6,Off Campus,,08084806223,
